condition_id,city,question,token_id,outcome,timestamp_utc,price
0x5e1c74d3aa2ae76542743d4c491d950984d5025531662d77dbb2983c02812843,Seoul,Will the lowest temperature in Seoul be 24°C on July 5?,67749037647896238628564763561221180743598903714769509945179761325223337440453,Yes,2026-07-03T05:00:05+00:00,0.18
0x5e1c74d3aa2ae76542743d4c491d950984d5025531662d77dbb2983c02812843,Seoul,Will the lowest temperature in Seoul be 24°C on July 5?,67749037647896238628564763561221180743598903714769509945179761325223337440453,Yes,2026-07-03T06:00:11+00:00,0.18
0x5e1c74d3aa2ae76542743d4c491d950984d5025531662d77dbb2983c02812843,Seoul,Will the lowest temperature in Seoul be 24°C on July 5?,67749037647896238628564763561221180743598903714769509945179761325223337440453,Yes,2026-07-03T07:00:05+00:00,0.29
0x5e1c74d3aa2ae76542743d4c491d950984d5025531662d77dbb2983c02812843,Seoul,Will the lowest temperature in Seoul be 24°C on July 5?,67749037647896238628564763561221180743598903714769509945179761325223337440453,Yes,2026-07-03T08:00:06+00:00,0.26
0x5e1c74d3aa2ae76542743d4c491d950984d5025531662d77dbb2983c02812843,Seoul,Will the lowest temperature in Seoul be 24°C on July 5?,67749037647896238628564763561221180743598903714769509945179761325223337440453,Yes,2026-07-03T09:00:12+00:00,0.09
0x5e1c74d3aa2ae76542743d4c491d950984d5025531662d77dbb2983c02812843,Seoul,Will the lowest temperature in Seoul be 24°C on July 5?,67749037647896238628564763561221180743598903714769509945179761325223337440453,Yes,2026-07-03T10:00:05+00:00,0.06
0x5e1c74d3aa2ae76542743d4c491d950984d5025531662d77dbb2983c02812843,Seoul,Will the lowest temperature in Seoul be 24°C on July 5?,67749037647896238628564763561221180743598903714769509945179761325223337440453,Yes,2026-07-03T11:00:06+00:00,0.04
0x5e1c74d3aa2ae76542743d4c491d950984d5025531662d77dbb2983c02812843,Seoul,Will the lowest temperature in Seoul be 24°C on July 5?,67749037647896238628564763561221180743598903714769509945179761325223337440453,Yes,2026-07-03T12:00:10+00:00,0.0375
0x5e1c74d3aa2ae76542743d4c491d950984d5025531662d77dbb2983c02812843,Seoul,Will the lowest temperature in Seoul be 24°C on July 5?,67749037647896238628564763561221180743598903714769509945179761325223337440453,Yes,2026-07-03T13:00:06+00:00,0.0535
0x5e1c74d3aa2ae76542743d4c491d950984d5025531662d77dbb2983c02812843,Seoul,Will the lowest temperature in Seoul be 24°C on July 5?,67749037647896238628564763561221180743598903714769509945179761325223337440453,Yes,2026-07-03T14:00:06+00:00,0.0305
0x5e1c74d3aa2ae76542743d4c491d950984d5025531662d77dbb2983c02812843,Seoul,Will the lowest temperature in Seoul be 24°C on July 5?,77013586960678945654204597513868896980600180098321245332926428806259791293407,No,2026-07-03T05:00:05+00:00,0.82
0x5e1c74d3aa2ae76542743d4c491d950984d5025531662d77dbb2983c02812843,Seoul,Will the lowest temperature in Seoul be 24°C on July 5?,77013586960678945654204597513868896980600180098321245332926428806259791293407,No,2026-07-03T06:00:11+00:00,0.82
0x5e1c74d3aa2ae76542743d4c491d950984d5025531662d77dbb2983c02812843,Seoul,Will the lowest temperature in Seoul be 24°C on July 5?,77013586960678945654204597513868896980600180098321245332926428806259791293407,No,2026-07-03T07:00:05+00:00,0.71
0x5e1c74d3aa2ae76542743d4c491d950984d5025531662d77dbb2983c02812843,Seoul,Will the lowest temperature in Seoul be 24°C on July 5?,77013586960678945654204597513868896980600180098321245332926428806259791293407,No,2026-07-03T08:00:06+00:00,0.74
0x5e1c74d3aa2ae76542743d4c491d950984d5025531662d77dbb2983c02812843,Seoul,Will the lowest temperature in Seoul be 24°C on July 5?,77013586960678945654204597513868896980600180098321245332926428806259791293407,No,2026-07-03T09:00:12+00:00,0.91
0x5e1c74d3aa2ae76542743d4c491d950984d5025531662d77dbb2983c02812843,Seoul,Will the lowest temperature in Seoul be 24°C on July 5?,77013586960678945654204597513868896980600180098321245332926428806259791293407,No,2026-07-03T10:00:05+00:00,0.94
0x5e1c74d3aa2ae76542743d4c491d950984d5025531662d77dbb2983c02812843,Seoul,Will the lowest temperature in Seoul be 24°C on July 5?,77013586960678945654204597513868896980600180098321245332926428806259791293407,No,2026-07-03T11:00:06+00:00,0.96
0x5e1c74d3aa2ae76542743d4c491d950984d5025531662d77dbb2983c02812843,Seoul,Will the lowest temperature in Seoul be 24°C on July 5?,77013586960678945654204597513868896980600180098321245332926428806259791293407,No,2026-07-03T12:00:10+00:00,0.9625
0x5e1c74d3aa2ae76542743d4c491d950984d5025531662d77dbb2983c02812843,Seoul,Will the lowest temperature in Seoul be 24°C on July 5?,77013586960678945654204597513868896980600180098321245332926428806259791293407,No,2026-07-03T13:00:06+00:00,0.9465
0x5e1c74d3aa2ae76542743d4c491d950984d5025531662d77dbb2983c02812843,Seoul,Will the lowest temperature in Seoul be 24°C on July 5?,77013586960678945654204597513868896980600180098321245332926428806259791293407,No,2026-07-03T14:00:06+00:00,0.9695
0x77474f96ca7fb85422441cdf60731b20508510a9e7c50fce18d636853881e9d4,Seoul,Will the highest temperature in Seoul be 30°C on July 3?,25646094780320273880833041869976639800523799715817075739991305944927456557392,Yes,2026-07-03T00:00:10+00:00,0.0075
